AtomicSymbol,Z,AtomicMass,AtomicNumber,AtomicRadius,Block,BoilingPoint,CovalentRadius,ElectronAffinity,Electronegativity,FusionHeat,MagneticType,MassDensity,MassMagneticSusceptibility,MeltingPoint,MolarHeatCapacity,MolarMagneticSusceptibility,MolarVolume,Phase,SoundSpeed,SpecificFusionHeat,SpecificHeat,SpecificIonizationEnergies,ThermalConductivity,Valence,ValenceElectronCount,VaporizationHeat,VolumeMagneticSusceptibility,MagneticOrdering
H,1,0.011292616398865273,0.029357847585005124,0.9548529603355629,0.0,-0.1605194988870552,0.7032808600496545,0.9318120377670424,3.482193340919307,0.03893804600878666,-1.2214378516209228,1.0474268087789415e-05,-0.014164217744448282,-0.2948652302698049,1.8394815429375124,-0.00017806020814800668,2.1100696172921376,3.139299861419661,0.42000432544062855,0.5435964324345549,8.83649778701267,9.269736974919747,0.002252273135734753,0.5750361637747652,0.47960743643088743,0.00217747357137393,-1.5218176012465179e-07,0.0
He,2,0.04484112002314578,0.05871569517001025,0.5584989013283481,0.0,-0.17071423591448473,0.635221421980333,0.0,,0.001395628889203823,-1.2214378516209228,2.079707289955963e-05,-0.003369713092429229,,2.6525767494935635,-8.406123049195755e-05,4.219880293456915,3.139299861419661,0.3207907052578029,0.004906711444904295,3.209008157883601,4.221057898827462,0.0018879164844136734,0.0,0.9592148728617749,0.00039984581067264643,-7.165508884793022e-08,0.0
Li,3,0.07774876766679067,0.08807354275501537,3.0086876297365848,0.0,0.8518889844838378,2.9038693576243797,0.762857107842249,1.5511588518640549,0.20934433338057346,1.2214378516209228,0.06233296359251766,0.014621127994269196,0.20542937668021366,3.1617428967914876,0.0006340211452359511,0.0024411902808305136,0.0,1.984272403656513,0.42448731360511854,2.206034762212254,0.5338324699238329,1.060627238434648,0.5750361637747652,0.47960743643088743,0.7081606526370966,0.0009349283021110901,0.0
Be,4,0.10096341931015523,0.1174313903400205,2.017802482218548,0.0,1.5679327806818772,2.1779020182182847,0.0,2.4850197932924147,0.5547624834585196,-1.2214378516209228,0.21531087237191146,-0.00719633643467937,1.464426762974604,2.093149554800931,-0.0004046337196562024,0.0009177491344439602,0.0,4.299256874589111,0.866243627974196,1.1246451728925215,0.7108292158304204,2.370813827089213,1.1500723275495304,0.9592148728617749,1.4307735634912768,-0.0015886956841712515,0.0
B,5,0.12110434848386271,0.14678923792502563,1.567400142437622,1.0403847833914326,2.5391623978653883,1.9056642659409992,0.3417497446206048,3.2289429161251757,3.4890722230095577,-1.2214378516209228,0.28661512231325875,-0.004968898966802422,2.3610610203359,1.420894337851672,-0.00033517634700394936,0.0008269638604203896,0.0,5.357535489872585,4.542001166234233,0.6364750154281853,0.5274532835378345,0.3369051227968882,1.7251084913242956,1.4388223092926624,2.4424316386871294,-0.0014603989536625763,0.0
C,6,0.13455914242735198,0.17614708551003075,1.2070782706128813,1.0403847833914326,2.5563017440509794,1.7241724310894755,1.9698608875322503,4.036178645156469,7.327051668320071,-1.2214378516209228,0.2633130798487661,-0.003541054436112071,4.0394056010566,1.0882693068513394,-0.0002653627826970694,0.0010001535288397645,0.0,6.0685664345161685,8.584461616408568,0.43873520480971995,0.6442355290828622,1.7469154515394203,2.3001446550990607,1.9184297457235497,3.4444548750715924,-0.0009554011846390707,0.0
N,7,0.15692031537589868,0.20550493309503587,1.008901241109274,1.0403847833914326,-0.12428565146951609,1.610740034307273,0.08959731132375406,4.811758071088497,0.025121320005668815,-1.2214378516209228,0.00014575427561540108,-0.0030841441862911587,-0.2390645399385892,1.8589911956656375,-0.0005342874819404082,2.107093283416161,3.139299861419661,0.11032554564330212,0.025238311899074946,0.6426543845100123,0.7130006304126574,0.000322305900809023,1.7251084913242956,2.3980371821544373,0.013440600141887754,-4.640520039675481e-07,0.0
O,8,0.17923667635460863,0.234862780680041,0.8647724923793777,1.0403847833914326,-0.11610320064239488,1.497307637525071,1.804745842378475,5.444884133073826,0.015491480670162436,1.2214378516209228,0.00016649309340879947,0.7624689793886474,-0.24839499794666361,1.876321326161007,0.15215937579015423,2.10696127429439,3.139299861419661,0.10500108136015714,0.013625833163012982,0.5678840186199051,0.5848757063435858,0.00033166437644226995,1.1500723275495304,2.877644618585325,0.016427400173418365,0.00013018842485426044,0.0
F,9,0.21283896736057048,0.2642206282650461,0.7566759308319555,1.0403847833914326,-0.1194168075716092,1.2931293233171066,4.198274016313048,6.299604316754019,0.0181431755596497,0.0,0.0001976013200988971,,-0.2498742168991632,1.9977593696599445,,2.1080805213360083,3.139299861419661,,0.013438759424454829,0.5091800123425483,0.6301511343029315,0.0003456397000545853,0.5750361637747652,3.3572520550162124,0.01575296145662113,,0.0
Ne,10,0.22607302692875156,0.29357847585005126,0.6846115564670073,1.0403847833914326,-0.1562092707166787,1.3158158026735471,0.0,,0.023725691116464994,-1.2214378516209228,0.00010485919109021661,-0.0023416650303321753,-0.2828607995399043,2.6524719213270482,-0.00029457049837647834,4.21956945531383,3.139299861419661,0.309546494970416,0.016545014134379896,0.6364750154281853,0.7343259403250075,0.0006126682047898967,0.0,3.8368594914470995,0.008430483959965436,-2.5181645509415475e-07,0.0
